ndata,n_pattern,l_pattern,distributed_pattern,exec_time,transmit_time,compute_time,gather_time
1500,611,100,pattern distributed,23.51,0.04,23.46,0.01
1500,621,10,pattern distributed,2.15,0.06,2.08,0.01
1500,621,100,pattern distributed,23.58,0.05,23.52,0.01
1500,631,10,pattern distributed,2.14,0.05,2.08,0.01
1500,631,100,pattern distributed,23.57,0.05,23.51,0.01
1500,641,10,pattern distributed,2.15,0.05,2.09,0.01
1500,641,100,pattern distributed,23.66,0.05,23.60,0.01
1500,651,10,pattern distributed,2.18,0.06,2.11,0.01
1500,651,100,pattern distributed,22.27,0.05,22.20,0.01
1500,661,10,pattern distributed,2.16,0.07,2.08,0.01
1500,661,100,pattern distributed,25.03,0.05,24.97,0.01
1500,671,10,pattern distributed,2.20,0.06,2.13,0.01
1500,671,100,pattern distributed,24.84,0.06,24.77,0.01
1500,681,10,pattern distributed,2.17,0.04,2.11,0.01
1500,681,100,pattern distributed,26.12,0.06,26.05,0.01
1500,691,10,pattern distributed,2.24,0.07,2.15,0.01
1500,691,100,pattern distributed,25.66,0.05,25.60,0.01
1500,701,10,pattern distributed,2.21,0.05,2.14,0.01
1500,701,100,pattern distributed,23.25,0.07,23.16,0.01
1500,711,10,pattern distributed,2.13,0.05,2.07,0.01
1500,711,100,pattern distributed,26.71,0.04,26.65,0.01
1500,721,10,pattern distributed,2.18,0.07,2.10,0.01
1500,721,100,pattern distributed,27.93,0.05,27.87,0.01
1500,731,10,pattern distributed,2.03,0.05,1.97,0.01
1500,731,100,pattern distributed,27.16,0.05,27.10,0.01
1500,741,10,pattern distributed,2.15,0.07,2.07,0.01
1500,741,100,pattern distributed,28.17,0.07,28.08,0.01
1500,751,10,pattern distributed,2.60,0.05,2.54,0.02
1500,751,100,pattern distributed,27.38,0.07,27.29,0.01
1500,761,10,pattern distributed,2.14,0.07,2.06,0.01
1500,761,100,pattern distributed,28.22,0.06,28.15,0.01
1500,771,10,pattern distributed,2.02,0.04,1.96,0.01
1500,771,100,pattern distributed,28.58,0.06,28.50,0.01
1500,781,10,pattern distributed,2.23,0.06,2.16,0.02
1500,781,100,pattern distributed,26.21,0.05,26.15,0.01
1500,791,10,pattern distributed,2.21,0.05,2.15,0.02
1500,791,100,pattern distributed,29.43,0.05,29.37,0.01
1500,801,10,pattern distributed,2.39,0.05,2.32,0.02
1500,801,100,pattern distributed,30.04,0.05,29.97,0.01
1500,811,10,pattern distributed,2.22,0.08,2.13,0.02
1500,811,100,pattern distributed,30.34,0.07,30.25,0.01
1500,821,10,pattern distributed,2.21,0.09,2.11,0.02
1500,821,100,pattern distributed,29.99,0.05,29.92,0.02
1500,831,10,pattern distributed,2.23,0.05,2.17,0.02
1500,831,100,pattern distributed,30.06,0.05,29.99,0.02
1500,841,10,pattern distributed,2.18,0.05,2.11,0.02
1500,841,100,pattern distributed,30.28,0.07,30.19,0.02
1500,851,10,pattern distributed,2.22,0.07,2.13,0.02
1500,851,100,pattern distributed,31.90,0.05,31.84,0.02
1500,861,10,pattern distributed,2.21,0.05,2.14,0.02
1500,861,100,pattern distributed,31.28,0.08,31.18,0.02
1500,871,10,pattern distributed,2.21,0.07,2.13,0.02
1500,871,100,pattern distributed,29.10,0.05,29.03,0.02
1500,881,10,pattern distributed,2.25,0.05,2.18,0.02
1500,881,100,pattern distributed,31.47,0.05,31.41,0.02
1500,891,10,pattern distributed,2.23,0.08,2.14,0.02
1500,891,100,pattern distributed,32.83,0.05,32.76,0.02
1500,901,10,pattern distributed,2.13,0.08,2.04,0.02
1500,901,100,pattern distributed,32.47,0.05,32.40,0.02
1500,911,10,pattern distributed,2.26,0.07,2.17,0.02
1500,911,100,pattern distributed,32.83,0.05,32.77,0.02
1500,921,10,pattern distributed,2.23,0.04,2.17,0.02
1500,921,100,pattern distributed,33.59,0.04,33.54,0.02
1500,931,10,pattern distributed,2.25,0.05,2.18,0.02
1500,931,100,pattern distributed,34.81,0.06,34.73,0.02
1500,941,10,pattern distributed,2.26,0.04,2.20,0.02
1500,941,100,pattern distributed,31.24,0.05,31.17,0.02
1500,951,10,pattern distributed,2.51,0.05,2.45,0.02
1500,951,100,pattern distributed,34.53,0.08,34.44,0.02
1500,961,10,pattern distributed,2.25,0.06,2.17,0.02
